,,,,,20517,,What schisto. infection did participants have?,,,Co-infections confirmed by diagnostic test?,,,,Age range of enrolled participants?,,,Specific inclusion criteria,,,,,,,Specific exclusion criteria,,,,,
X06990,S699,S699C1,216,not required,43,39,"Among 216 (+ 21 in Intention-To-Treat, not receiving full treatment) included participants, prevalences in each group/village are given in the article and applied as correction factors.",none,none,0,0,0,0,-9.00,-9.00,unclear,,,,Written informed consent was obtained from all adults as well as from parents or guardians of minors who were involved in the project.,,,,not normally developed or not well-nourished,abdominal disorders,,,,
X07490,S749,S749C1,449,Sj+,449,406,N/A,none,none,0,1,0,0,7.00,20.00,exclude: pregnant or lactating,,,,Written informed consent was obtained from each participant >18 y old or from the parents of participating children,,lived primarily in a study village,,severe anaemia,chronic medical condition,,,,
X07580,S758,S758C1,232,not required,37,28,"Among followed-up, 28 children had been egg-patent at baseline based on stool examination (83 based on CCA).",none,none,0,0,0,0,-9.00,6.00,N/A,,,availability to attend the two-day walk-in survey clinic,"preliminary informed assent; on study day, mothers gave informed consent by signing (or fingerprinting) a consent sheet",,,,,,,,,
X07720,S772,S772C1,72,not required,14,-9,"Approx. 18 schoolchildren per age group, prevalence unknown - past estimates suggest between 9.7 and 29.6% i.e. approx. 0.2 as correction factor",none,none,0,0,0,0,6.00,11.00,N/A,,,,"Written consent for the schoolchildren to participate in longitudinal monitoring of the national control program was given by head teachers because, in African schools, written consent of the child’s guardian is very difficult to obtain (owing to associated impoverished conditions and often low literacy). The parents/guardians verbal consent was recorded at school committees comprising of parents, teachers, and community leaders. Each individual child also gave verbal consent before recruitment.",,,,,,,,,
X08120,S812,S812C1,148,Sm+ (except control group),120,120,28 children uninfected at baseline were not treated and included in the control group.,none,none,0,0,0,0,6.00,18.00,unclear,,,,Parents and guardians of the participants agreed that the informed verbal consent obtained was sufficient,,,,,,,,,
X08200,S820,S820C1,87,Sh+ (except control group),58,41,"Assuming all 3 groups (single infection, several infections, or no infection at baseline) were roughly equal in size, about 2 thirds of the overall participants would be infected = correction factor 0.666",none,none,1,1,1,0,-9.00,-9.00,unclear,no diarrhoea,,,"Oral informed consent was given by all participating children, and written consent was provided by all parents or legal guardians",,,,,,,,,
X08280,S828,S828C1,201,Sm+,201,178,N/A,none,none,0,1,0,0,17.00,71.00,N/A,,,,Those who expressed interest were informed of the risks and benefits of participation and signed an informed consent document.,,,males only (car washers),,,,,,
X08430,S843,S843C1,182,Sm+ (except control group),155,111,155 egg-positive and 27 egg-negative participants at baseline.,none,none,0,1,0,0,6.00,59.00,unclear,,,,Informed consent was obtained from all those who participated in the study.,,,,,,,,,
X08620,S862,S862C1,2300,not required,1090,921,47.4% prevalence at baseline = correction factor 0.474,none,none,0,1,0,0,4.00,18.00,unclear,,,,,,,,,,,,,
X09310,S931,S931C1,95,Sh+,95,87,N/A,none,none,0,0,0,0,5.00,18.00,unclear,,,,informed consent of the parents of each selected pupil was sought (and obtained) by the head teacher,grades 2 to 6,,,,,,,,
X09350,S935,S935C1,1505,not required,830,729,"Known prevalences among groups of included participants, respectively applied as correction factors",none,none,0,0,0,0,-9.00,-9.00,unclear,,,,,,,,,,,,,
X09720,S972,S972C1,174,not required,103,-1,"Among screened participants, some were included but remained untreated (controls); 49% had mixed infections, and 74% (resp. 53%) had at least S. mansoni (resp. S. haematobium) = correction factor 0.78",none,none,0,1,0,1,6.00,17.00,unclear,,,"have given at least 2 stool samples for intestinal helminth detection and at least 2 urine samples for S. haematobium detection, on any 3 consecutive days both before and after treatment; have provided a blood sample for serological assays both before and after treatment",,,,,,,,"had been treated for any helminth infection, at any time in life",,
X09880,S988,S988C1,595,not required; Sm+ (excluded),357,185,357 infected among the 595 participants treated after baseline survey = correction factor 0.518,none,none,0,0,0,0,-9.00,6.00,N/A,,,,,,,,,,,,,
X10490,S1049,S1049C1,160,not required,41,31,"160 individuals included, among which approx. 25.8% (prevalence estimated from 120 followed-up participants) were infected at baseline = correction factor 0.258",none,none,0,0,0,0,9.00,65.00,unclear,,,,,,resident in an area with exposure to infected water sources,,,,,,,moved out of study area (e.g. due to floods)
X10530,S1053,S1053C1,230,Sj+,230,220,N/A,none,none,0,0,0,0,-9.00,-9.00,unclear,,,,Informed consent was obtained from all participants following a detailed description of the purpose and potential benefits of the study.,,,,,,,,,
X10590,S1059,S1059C1,261,Sj+,261,238,N/A,none,none,0,0,0,0,6.00,65.00,exclude: pregnant,,,,,,,,,,,,,
X10591,S1059,S1059C2,102,Sj+,102,96,N/A,none,none,0,0,0,0,8.00,68.00,exclude: pregnant,,,,,,,,,,,,,
X10760,S1076,S1076C1,178,Sm+,178,161,N/A,none,none,0,0,0,0,-9.00,-9.00,exclude: pregnant or lactating,,,,,,,,,,,,,
X10840,S1084,S1084C1,33,Sm+,33,28,N/A,none,"exclude: participants with >70 eggs/slide, to reduce outliers.",0,0,0,0,18.00,45.00,N/A,,,,Informed consent was obtained from all those who participated in this study.,,having resided in Bugoigo (study village) for at least 3 years,males only (fishermen),,,,,,
X10970,S1097,S1097C1,69,Sm+,69,64,N/A,none,none,0,1,0,0,18.00,45.00,N/A,,,,Informed consent was obtained from all those who participated in the study.,,having resided in Bugoigo (study village) for at least 3 years,males only (fishermen),,,,,,
X11090,S1109,S1109C1,36,Sm+,36,36,N/A,none,none,0,1,0,0,-9.00,15.00,unclear,,,,,"registered in any school, any grade",,,,,,received anthelminthic treatment within the 15 days prior to baseline survey,,
X11220,S1122,S1122C1,123,not required; Sh+ (excluded),62,-1,"unclear, arbitrarily 0.5 as correction factor",none,none,0,1,0,1,6.00,14.00,unclear,,,have provided a blood sample for serological assays both before and after treatment,,,permanent inhabitants of the study area,negative for all other intestinal helminths as well as S. haematobium both before and after treatment,,,,"had been treated for any helminth infection, at any time in life",,
X11700,S1170,S1170C1,483,Sm+,483,-9,N/A,none,none,0,0,0,0,-9.00,-9.00,unclear,,,,Participants consented,,,,,,,,,
